0;vocabulary;correct;wrong1;wrong2
1;Erdbeschleunigung;Acceleration of gravity;Angular motion ;Reflection 
1;Beschleuniger;Accelerator ;Angular velocity;Refraction
1;Akkumulation;Accumulation;Anharmonic ;Relativity
1;Akku;Accumulator;Anharmonic oscillator;Spectrum
1;Azentrisch;Acentric;Annihilation ;Speed
1;Aktion;Action;Anti;Superconductivity 
1;Aktions-Reaktions-Gesetz;Action-reaction law ;Astrophysics ;Symmetry 
1;Aktivität;Activity;Atom;Synchronisation
1;Aktivitätskoeffizient;Activity coefficient;Axiom ;System 
1;Aerophysik;Aerophysics ;background;Tensor
1;Aggregat;Aggregate;background activity ;temperature
1;Alpha;Alpha;background radiation ;Torsion
1;Alphazerfall;Alpha decay;balance;Trajectory
1;Alpha-Emission;Alpha emission ;battery ;Translucent 
1;Alpha-Partikelstreuung;Alpha particle scattering ;beam;Terrestrial Gravity
1;Ampere;Ampere ;beta decay;Total Internal Reflection 
1;Amperegesetz;Ampere law ;beta ray ;Velocity
1;Amperometer;Amperometer;beta ray spectromett;Virtual 
1;Verstärken;Amplify ;Angular acceleration ;Viscosity 
1;Amplitude;Amplitude;biophysics ;Vortex 
1;Winkel;Angle ;black-body radiation;Vacuum
1;Eckig;Angular;black hole ;Voltage
1;Winkelbeschleunigung;Angular acceleration ;Bohr magneton ;wave
1;Drehimpuls;Angular momentum;Collider ;Work
1;Winkelbewegung;Angular motion ;Covariance ;watt
1;Winkelgeschwindigkeit;Angular velocity;Concave ;Momentum 
1;Anharmonische;Anharmonic ;Convex ;Notation
1;Anharmonischer Oszillator;Anharmonic oscillator;Dynamic;natural radiation
1;Vernichtung;Annihilation ;Distortion;Nebulae
1;Strahlung;radiation;Diffraction;Orbit
1;Astrophysik;Astrophysics ;Electricity;Oscillate
1;Atom;Atom;Elasticity ;Optics
1;Axiom;Axiom ;Electromagnetic ;Particle
1;Hintergrund;background;Electromagnetic Field;Photon
1;Hintergrundaktivität;background activity ;Elasticity ;Plasma 
1;Hintergrundstrahlung;background radiation ;Force;Position 
1;Gleichgewicht;balance;Fusion ;Potential Energy
1;Batterie;battery ;Frequency ;Quark 
1;Strahl;beam;gravitation;Quanta
2;Betazerfall;beta decay;Gravity ;Radiation
2;Betastrahl;beta ray ;Hadron;Reference 
2;Betastrahlenspektrometer;beta ray spectromett;Harmonic;Reference system
2;Biophysik;biophysics ;Inertia ;infrasound
2;Schwarzkörperstrahlung;black-body radiation;isotopes;Kinetic Theory of Gases
2;schwarzes Loch;black hole ;Radioisotopes;Latitude 
2;Bohr-Magneton;Bohr magneton ;Joule;Lens 
2;Collider;Collider ;Kinetic Energy;Lepton 
2;Kovarianz;Covariance ;Kinetics;Level 
2;Konkav ;Concave ;Kinetic Theory of Gases;Light
2;Konvex;Convex ;Latitude ;Accumulator
2;Dynamisch;Dynamic;Lens ;Acentric
2;Verzerrung;Distortion;Lepton ;Action
2;Beugung;Diffraction;Level ;Action-reaction law 
2;Elektrizität;Electricity;Light;Activity
2;Elastizität;Elasticity ;Linear;Activity coefficient
2;Elektromagnetisch;Electromagnetic ;Longitude;Aerophysics 
2;Elektromagnetisches Feld;Electromagnetic Field;Luminescent;Aggregate
2;Gewalt;Force;Magnetic ;Alpha
2;Verschmelzung;Fusion ;Manometer;Alpha decay
2;Fusion;Fusion ;Molecule ;Alpha emission 
2;Frequenz;Frequency ;Moment ;Alpha particle scattering 
2;Gravitation;gravitation;Momentum ;Ampere 
2;Schwere;Gravity ;Notation;Ampere law 
2;Hadron;Hadron;natural radiation;Amperometer
2;Harmonische;Harmonic;Nebulae;Amplify 
2;Trägheit;Inertia ;Orbit;Amplitude
2;Infrasound;Infrasound;Oscillate;Angle 
2;Isotope;isotopes;Optics;Angular
